Model,Accuracy,Macro-F1,Hyperparams,TrainingParams
relu_20250409_045914.npz,0.3587,0.3258019019800481,"{'input_dim': 128, 'hidden_dims': [512, 256], 'output_dim': 10, 'activation': 'relu', 'dropout_prob': 0.0, 'use_batchnorm': True}","{'learning_rate': 0.005, 'batch_size': 256, 'num_epochs': 200, 'opt': 'SGD', 'shuffle': True, 'opt_para': {'momentum': 0.92, 'weight_decay': 0.0001}}"
relu_20250409_031124.npz,0.357,0.3256723594178803,"{'input_dim': 128, 'hidden_dims': [256, 128], 'output_dim': 10, 'activation': 'relu', 'dropout_prob': 0.0, 'use_batchnorm': True}","{'learning_rate': 0.01, 'batch_size': 256, 'num_epochs': 200, 'opt': 'SGD', 'shuffle': True, 'opt_para': {'momentum': 0.92, 'weight_decay': 0.0001}}"
relu_20250409_050845.npz,0.3637,0.3242493571106234,"{'input_dim': 128, 'hidden_dims': [512, 256], 'output_dim': 10, 'activation': 'relu', 'dropout_prob': 0.0, 'use_batchnorm': True}","{'learning_rate': 0.005, 'batch_size': 256, 'num_epochs': 200, 'opt': 'Adam', 'shuffle': True, 'opt_para': {'beta1': 0.9, 'beta2': 0.999, 'eps': 1e-06}}"
relu_20250409_062238.npz,0.364,0.32370971809145754,"{'input_dim': 128, 'hidden_dims': [512, 256], 'output_dim': 10, 'activation': 'relu', 'dropout_prob': 0.1, 'use_batchnorm': True}","{'learning_rate': 0.005, 'batch_size': 512, 'num_epochs': 200, 'opt': 'SGD', 'shuffle': True, 'opt_para': {'momentum': 0.9, 'weight_decay': 0.0001}}"
relu_20250409_080948.npz,0.3638,0.3223904027309832,"{'input_dim': 128, 'hidden_dims': [512, 256], 'output_dim': 10, 'activation': 'relu', 'dropout_prob': 0.1, 'use_batchnorm': True}","{'learning_rate': 0.01, 'batch_size': 256, 'num_epochs': 200, 'opt': 'SGD', 'shuffle': True, 'opt_para': {'momentum': 0.92, 'weight_decay': 0.0001}}"
relu_20250409_164810.npz,0.3659,0.3203302545753731,"{'input_dim': 128, 'hidden_dims': [1024, 512, 256], 'output_dim': 10, 'activation': 'relu', 'dropout_prob': 0.1, 'use_batchnorm': True}","{'learning_rate': 0.01, 'batch_size': 512, 'num_epochs': 200, 'opt': 'Adam', 'shuffle': True, 'opt_para': {'beta1': 0.92, 'beta2': 0.98, 'eps': 1e-06}}"
relu_20250409_041524.npz,0.3531,0.3186389036122845,"{'input_dim': 128, 'hidden_dims': [256, 128], 'output_dim': 10, 'activation': 'relu', 'dropout_prob': 0.1, 'use_batchnorm': True}","{'learning_rate': 0.01, 'batch_size': 256, 'num_epochs': 200, 'opt': 'SGD', 'shuffle': True, 'opt_para': {'momentum': 0.92, 'weight_decay': 0.0001}}"
relu_20250409_132524.npz,0.3585,0.317922668463011,"{'input_dim': 128, 'hidden_dims': [1024, 512, 256], 'output_dim': 10, 'activation': 'relu', 'dropout_prob': 0.1, 'use_batchnorm': True}","{'learning_rate': 0.005, 'batch_size': 512, 'num_epochs': 200, 'opt': 'SGD', 'shuffle': True, 'opt_para': {'momentum': 0.9, 'weight_decay': 0.0001}}"
relu_20250409_054034.npz,0.3597,0.317773683560551,"{'input_dim': 128, 'hidden_dims': [512, 256], 'output_dim': 10, 'activation': 'relu', 'dropout_prob': 0.0, 'use_batchnorm': True}","{'learning_rate': 0.01, 'batch_size': 512, 'num_epochs': 200, 'opt': 'Adam', 'shuffle': True, 'opt_para': {'beta1': 0.9, 'beta2': 0.999, 'eps': 1e-06}}"
relu_20250409_064322.npz,0.3603,0.3172661186406838,"{'input_dim': 128, 'hidden_dims': [512, 256], 'output_dim': 10, 'activation': 'relu', 'dropout_prob': 0.1, 'use_batchnorm': True}","{'learning_rate': 0.005, 'batch_size': 512, 'num_epochs': 200, 'opt': 'Adam', 'shuffle': True, 'opt_para': {'beta1': 0.92, 'beta2': 0.98, 'eps': 1e-06}}"
relu_20250409_091510.npz,0.3539,0.31671465664369125,"{'input_dim': 128, 'hidden_dims': [1024, 512, 256], 'output_dim': 10, 'activation': 'relu', 'dropout_prob': 0.0, 'use_batchnorm': True}","{'learning_rate': 0.005, 'batch_size': 512, 'num_epochs': 200, 'opt': 'Adam', 'shuffle': True, 'opt_para': {'beta1': 0.9, 'beta2': 0.999, 'eps': 1e-06}}"
relu_20250409_044035.npz,0.361,0.3149801976265028,"{'input_dim': 128, 'hidden_dims': [512, 256], 'output_dim': 10, 'activation': 'relu', 'dropout_prob': 0.0, 'use_batchnorm': True}","{'learning_rate': 0.005, 'batch_size': 512, 'num_epochs': 200, 'opt': 'Adam', 'shuffle': True, 'opt_para': {'beta1': 0.9, 'beta2': 0.999, 'eps': 1e-06}}"
relu_20250409_022857.npz,0.3518,0.3140917768666187,"{'input_dim': 128, 'hidden_dims': [256, 128], 'output_dim': 10, 'activation': 'relu', 'dropout_prob': 0.0, 'use_batchnorm': True}","{'learning_rate': 0.005, 'batch_size': 512, 'num_epochs': 200, 'opt': 'Adam', 'shuffle': True, 'opt_para': {'beta1': 0.92, 'beta2': 0.98, 'eps': 1e-06}}"
relu_20250409_134330.npz,0.3596,0.31381842902499474,"{'input_dim': 128, 'hidden_dims': [1024, 512, 256], 'output_dim': 10, 'activation': 'relu', 'dropout_prob': 0.1, 'use_batchnorm': True}","{'learning_rate': 0.005, 'batch_size': 512, 'num_epochs': 200, 'opt': 'SGD', 'shuffle': True, 'opt_para': {'momentum': 0.92, 'weight_decay': 0.0001}}"
relu_20250409_061543.npz,0.3522,0.31110435151681226,"{'input_dim': 128, 'hidden_dims': [512, 256], 'output_dim': 10, 'activation': 'relu', 'dropout_prob': 0.0, 'use_batchnorm': True}","{'learning_rate': 0.01, 'batch_size': 256, 'num_epochs': 200, 'opt': 'Adam', 'shuffle': True, 'opt_para': {'beta1': 0.92, 'beta2': 0.98, 'eps': 1e-06}}"
relu_20250409_104744.npz,0.3523,0.3103106771735369,"{'input_dim': 128, 'hidden_dims': [1024, 512, 256], 'output_dim': 10, 'activation': 'relu', 'dropout_prob': 0.0, 'use_batchnorm': True}","{'learning_rate': 0.005, 'batch_size': 256, 'num_epochs': 200, 'opt': 'Adam', 'shuffle': True, 'opt_para': {'beta1': 0.92, 'beta2': 0.98, 'eps': 1e-06}}"
relu_20250409_154813.npz,0.3578,0.31030597232146945,"{'input_dim': 128, 'hidden_dims': [1024, 512, 256], 'output_dim': 10, 'activation': 'relu', 'dropout_prob': 0.1, 'use_batchnorm': True}","{'learning_rate': 0.005, 'batch_size': 256, 'num_epochs': 200, 'opt': 'Adam', 'shuffle': True, 'opt_para': {'beta1': 0.92, 'beta2': 0.98, 'eps': 1e-06}}"
relu_20250409_144204.npz,0.3549,0.3098406231504993,"{'input_dim': 128, 'hidden_dims': [1024, 512, 256], 'output_dim': 10, 'activation': 'relu', 'dropout_prob': 0.1, 'use_batchnorm': True}","{'learning_rate': 0.005, 'batch_size': 256, 'num_epochs': 200, 'opt': 'SGD', 'shuffle': True, 'opt_para': {'momentum': 0.9, 'weight_decay': 0.0001}}"
