Model,Accuracy,Macro-F1,Hyperparams,TrainingParams
relu_20250409_023550.npz,0.3172,0.2814971153087721,"{'input_dim': 128, 'hidden_dims': [256, 128], 'output_dim': 10, 'activation': 'relu', 'dropout_prob': 0.0, 'use_batchnorm': True}","{'learning_rate': 0.005, 'batch_size': 256, 'num_epochs': 200, 'opt': 'SGD', 'shuffle': True, 'opt_para': {'momentum': 0.92, 'weight_decay': 0.0001}}"
relu_20250409_030248.npz,0.3178,0.28138312877846267,"{'input_dim': 128, 'hidden_dims': [256, 128], 'output_dim': 10, 'activation': 'relu', 'dropout_prob': 0.0, 'use_batchnorm': True}","{'learning_rate': 0.01, 'batch_size': 512, 'num_epochs': 200, 'opt': 'Adam', 'shuffle': True, 'opt_para': {'beta1': 0.92, 'beta2': 0.98, 'eps': 1e-06}}"
relu_20250409_032047.npz,0.3239,0.28069989536839257,"{'input_dim': 128, 'hidden_dims': [256, 128], 'output_dim': 10, 'activation': 'relu', 'dropout_prob': 0.0, 'use_batchnorm': True}","{'learning_rate': 0.01, 'batch_size': 256, 'num_epochs': 200, 'opt': 'Adam', 'shuffle': True, 'opt_para': {'beta1': 0.92, 'beta2': 0.98, 'eps': 1e-06}}"
relu_20250409_181432.npz,0.3291,0.2800031971052299,"{'input_dim': 128, 'hidden_dims': [1024, 512, 256], 'output_dim': 10, 'activation': 'relu', 'dropout_prob': 0.1, 'use_batchnorm': True}","{'learning_rate': 0.01, 'batch_size': 256, 'num_epochs': 200, 'opt': 'Adam', 'shuffle': True, 'opt_para': {'beta1': 0.92, 'beta2': 0.98, 'eps': 1e-06}}"
relu_20250409_033748.npz,0.3235,0.2799209918145696,"{'input_dim': 128, 'hidden_dims': [256, 128], 'output_dim': 10, 'activation': 'relu', 'dropout_prob': 0.1, 'use_batchnorm': True}","{'learning_rate': 0.005, 'batch_size': 512, 'num_epochs': 200, 'opt': 'Adam', 'shuffle': True, 'opt_para': {'beta1': 0.92, 'beta2': 0.98, 'eps': 1e-06}}"
relu_20250409_122752.npz,0.3202,0.27876883634280264,"{'input_dim': 128, 'hidden_dims': [1024, 512, 256], 'output_dim': 10, 'activation': 'relu', 'dropout_prob': 0.0, 'use_batchnorm': True}","{'learning_rate': 0.01, 'batch_size': 256, 'num_epochs': 200, 'opt': 'SGD', 'shuffle': True, 'opt_para': {'momentum': 0.92, 'weight_decay': 0.0001}}"
relu_20250409_081748.npz,0.3276,0.2784539673215398,"{'input_dim': 128, 'hidden_dims': [512, 256], 'output_dim': 10, 'activation': 'relu', 'dropout_prob': 0.1, 'use_batchnorm': True}","{'learning_rate': 0.01, 'batch_size': 256, 'num_epochs': 200, 'opt': 'Adam', 'shuffle': True, 'opt_para': {'beta1': 0.9, 'beta2': 0.999, 'eps': 1e-06}}"
relu_20250409_082552.npz,0.3278,0.27760264922218797,"{'input_dim': 128, 'hidden_dims': [512, 256], 'output_dim': 10, 'activation': 'relu', 'dropout_prob': 0.1, 'use_batchnorm': True}","{'learning_rate': 0.01, 'batch_size': 256, 'num_epochs': 200, 'opt': 'Adam', 'shuffle': True, 'opt_para': {'beta1': 0.92, 'beta2': 0.98, 'eps': 1e-06}}"
relu_20250409_074219.npz,0.3243,0.2767348635104509,"{'input_dim': 128, 'hidden_dims': [512, 256], 'output_dim': 10, 'activation': 'relu', 'dropout_prob': 0.1, 'use_batchnorm': True}","{'learning_rate': 0.01, 'batch_size': 512, 'num_epochs': 200, 'opt': 'Adam', 'shuffle': True, 'opt_para': {'beta1': 0.9, 'beta2': 0.999, 'eps': 1e-06}}"
relu_20250409_113515.npz,0.3145,0.27353860502074456,"{'input_dim': 128, 'hidden_dims': [1024, 512, 256], 'output_dim': 10, 'activation': 'relu', 'dropout_prob': 0.0, 'use_batchnorm': True}","{'learning_rate': 0.01, 'batch_size': 512, 'num_epochs': 200, 'opt': 'Adam', 'shuffle': True, 'opt_para': {'beta1': 0.9, 'beta2': 0.999, 'eps': 1e-06}}"
relu_20250409_070741.npz,0.3198,0.27342106952034806,"{'input_dim': 128, 'hidden_dims': [512, 256], 'output_dim': 10, 'activation': 'relu', 'dropout_prob': 0.1, 'use_batchnorm': True}","{'learning_rate': 0.005, 'batch_size': 256, 'num_epochs': 200, 'opt': 'Adam', 'shuffle': True, 'opt_para': {'beta1': 0.9, 'beta2': 0.999, 'eps': 1e-06}}"
relu_20250409_102814.npz,0.3071,0.2696004961107999,"{'input_dim': 128, 'hidden_dims': [1024, 512, 256], 'output_dim': 10, 'activation': 'relu', 'dropout_prob': 0.0, 'use_batchnorm': True}","{'learning_rate': 0.005, 'batch_size': 256, 'num_epochs': 200, 'opt': 'Adam', 'shuffle': True, 'opt_para': {'beta1': 0.9, 'beta2': 0.999, 'eps': 1e-06}}"
relu_20250409_130634.npz,0.3121,0.2678448405404503,"{'input_dim': 128, 'hidden_dims': [1024, 512, 256], 'output_dim': 10, 'activation': 'relu', 'dropout_prob': 0.0, 'use_batchnorm': True}","{'learning_rate': 0.01, 'batch_size': 256, 'num_epochs': 200, 'opt': 'Adam', 'shuffle': True, 'opt_para': {'beta1': 0.92, 'beta2': 0.98, 'eps': 1e-06}}"
relu_20250409_093153.npz,0.316,0.2663798648170041,"{'input_dim': 128, 'hidden_dims': [1024, 512, 256], 'output_dim': 10, 'activation': 'relu', 'dropout_prob': 0.0, 'use_batchnorm': True}","{'learning_rate': 0.005, 'batch_size': 512, 'num_epochs': 200, 'opt': 'Adam', 'shuffle': True, 'opt_para': {'beta1': 0.92, 'beta2': 0.98, 'eps': 1e-06}}"
relu_20250409_035347.npz,0.3183,0.266213994091446,"{'input_dim': 128, 'hidden_dims': [256, 128], 'output_dim': 10, 'activation': 'relu', 'dropout_prob': 0.1, 'use_batchnorm': True}","{'learning_rate': 0.005, 'batch_size': 256, 'num_epochs': 200, 'opt': 'Adam', 'shuffle': True, 'opt_para': {'beta1': 0.92, 'beta2': 0.98, 'eps': 1e-06}}"
relu_20250409_033427.npz,0.3089,0.2648227510920138,"{'input_dim': 128, 'hidden_dims': [256, 128], 'output_dim': 10, 'activation': 'relu', 'dropout_prob': 0.1, 'use_batchnorm': True}","{'learning_rate': 0.005, 'batch_size': 512, 'num_epochs': 200, 'opt': 'Adam', 'shuffle': True, 'opt_para': {'beta1': 0.9, 'beta2': 0.999, 'eps': 1e-06}}"
relu_20250409_025034.npz,0.2923,0.2625189546688226,"{'input_dim': 128, 'hidden_dims': [256, 128], 'output_dim': 10, 'activation': 'relu', 'dropout_prob': 0.0, 'use_batchnorm': True}","{'learning_rate': 0.01, 'batch_size': 512, 'num_epochs': 200, 'opt': 'SGD', 'shuffle': True, 'opt_para': {'momentum': 0.9, 'weight_decay': 0.0001}}"
relu_20250409_100857.npz,0.2956,0.2549631297333149,"{'input_dim': 128, 'hidden_dims': [1024, 512, 256], 'output_dim': 10, 'activation': 'relu', 'dropout_prob': 0.0, 'use_batchnorm': True}","{'learning_rate': 0.005, 'batch_size': 256, 'num_epochs': 200, 'opt': 'SGD', 'shuffle': True, 'opt_para': {'momentum': 0.92, 'weight_decay': 0.0001}}"
relu_20250409_111910.npz,0.3024,0.2533784336973562,"{'input_dim': 128, 'hidden_dims': [1024, 512, 256], 'output_dim': 10, 'activation': 'relu', 'dropout_prob': 0.0, 'use_batchnorm': True}","{'learning_rate': 0.01, 'batch_size': 512, 'num_epochs': 200, 'opt': 'SGD', 'shuffle': True, 'opt_para': {'momentum': 0.92, 'weight_decay': 0.0001}}"
relu_20250409_124715.npz,0.2939,0.2509687580691145,"{'input_dim': 128, 'hidden_dims': [1024, 512, 256], 'output_dim': 10, 'activation': 'relu', 'dropout_prob': 0.0, 'use_batchnorm': True}","{'learning_rate': 0.01, 'batch_size': 256, 'num_epochs': 200, 'opt': 'Adam', 'shuffle': True, 'opt_para': {'beta1': 0.9, 'beta2': 0.999, 'eps': 1e-06}}"
relu_20250409_095011.npz,0.3011,0.25020879584482214,"{'input_dim': 128, 'hidden_dims': [1024, 512, 256], 'output_dim': 10, 'activation': 'relu', 'dropout_prob': 0.0, 'use_batchnorm': True}","{'learning_rate': 0.005, 'batch_size': 256, 'num_epochs': 200, 'opt': 'SGD', 'shuffle': True, 'opt_para': {'momentum': 0.9, 'weight_decay': 0.0001}}"
model_test.npz,0.2889,0.24119538959283124,"{'input_dim': 128, 'hidden_dims': [1024, 512, 256], 'output_dim': 10, 'activation': 'relu', 'dropout_prob': 0.01, 'use_batchnorm': True}","{'learning_rate': 0.01, 'batch_size': 512, 'num_epochs': 5, 'opt': 'SGD', 'opt_para': {'momentum': 0.9, 'weight_decay': 0.0001}, 'shuffle': True}"
relu_20250409_110325.npz,0.2804,0.23692703781179061,"{'input_dim': 128, 'hidden_dims': [1024, 512, 256], 'output_dim': 10, 'activation': 'relu', 'dropout_prob': 0.0, 'use_batchnorm': True}","{'learning_rate': 0.01, 'batch_size': 512, 'num_epochs': 200, 'opt': 'SGD', 'shuffle': True, 'opt_para': {'momentum': 0.9, 'weight_decay': 0.0001}}"
relu_20250409_084203.npz,0.2851,0.2363640041766774,"{'input_dim': 128, 'hidden_dims': [1024, 512, 256], 'output_dim': 10, 'activation': 'relu', 'dropout_prob': 0.0, 'use_batchnorm': True}","{'learning_rate': 0.005, 'batch_size': 512, 'num_epochs': 200, 'opt': 'SGD', 'shuffle': True, 'opt_para': {'momentum': 0.9, 'weight_decay': 0.0001}}"
relu_20250409_085821.npz,0.2765,0.22641990975068388,"{'input_dim': 128, 'hidden_dims': [1024, 512, 256], 'output_dim': 10, 'activation': 'relu', 'dropout_prob': 0.0, 'use_batchnorm': True}","{'learning_rate': 0.005, 'batch_size': 512, 'num_epochs': 200, 'opt': 'SGD', 'shuffle': True, 'opt_para': {'momentum': 0.92, 'weight_decay': 0.0001}}"
